Adequar adequar
a o
infraestrutura infraestrutura
da de_o
internet internet
e e
mobiliários mobiliário
para para
os o
laboratórios laboratório
de de
TI tu
. .
Estudar estudar
formas forma
de de
obter obter
/ /
alocar alocar
recursos recurso
para para
: :
manutenção manutenção
dos de_o
equipamentos equipamento
de de
laboratórios laboratório
específicos específico
( (
robôs robô
, ,
sistemas sistema
de de
controle controle
, ,
kit kit
didático didático
de de
instrumentação instrumentação
, ,
impressoras impressora
3D 3d
) )
; ;
e e
para para
aquisição aquisição
e e
implantação implantação
de de
módulos módulo
e e
dispositivos dispositivo
para para
a o
modernização modernização
de de
alguns algum
dos de_o
laboratórios laboratório
, ,
que que
se se
encontram encontrar
desatualizados desatualizar
frente frente
ao a_o
mercado mercado
de de
trabalho trabalho
. .
Criar criar
/ /
preparar preparar
espaço espaço
físico físico
para para
confecção confecção
dos de_o
protótipos protótipo
de de
TCC tcc
' '
s s
e e
de de
Projetos projeto
de de
Iniciação iniciação
Científica científico
/ /
Tecnológica tecnológica
, ,
inclusive inclusive
com com
ações ação
de de
descarte descarte
de de
equipamentos equipamento
inutilizáveis inutilizável
, ,
que que
fazem fazer
parte parte
do de_o
patrimônio patrimônio
. .
Recuperar recuperar
Laboratório laboratório
de de
Controle controle
de de
Processos processos
Contínuos contínuo
( (
Equipamentos equipamento
locados locar
no em_o
Laboratório laboratório
29 29
) )
, ,
visando visar
ampliar ampliar
as o
aulas aula
práticas prático
para para
algumas algum
disciplinas disciplina
formativas formativo
. .
